t,n_trades_alive,n_winners_alive,all_mfe_p10,all_mfe_p25,all_mfe_p50,all_mfe_p75,all_mfe_p90,all_mae_p10,all_mae_p25,all_mae_p50,all_mae_p75,all_mae_p90,win_mfe_p10,win_mfe_p25,win_mfe_p50,win_mfe_p75,win_mfe_p90,win_mae_p10,win_mae_p25,win_mae_p50,win_mae_p75,win_mae_p90
93,3285,1629,0.723439351317795,1.892833106564733,4.130205350767003,7.322254218925967,10.788163313406685,-11.114710647693737,-7.435048654540825,-4.116303291406172,-1.8906508761907175,-0.7544197083942831,3.8348862612391628,4.831218198614957,6.786685610941848,9.529097639149379,12.99523164364621,-6.015439081817476,-3.173114585730699,-1.922640574984402,-0.9709918474700727,-0.40993549123394
94,3284,1628,0.7233416744184824,1.9007208483896703,4.155160406837345,7.331068865516803,10.79541370812084,-11.11837789466139,-7.480812302683791,-4.143286246705847,-1.9100674695861442,-0.7552892802256346,3.8377624995172472,4.838252326392729,6.807897468095076,9.547283029101914,13.04189030996817,-6.038599637602896,-3.2012399443353536,-1.9288283082312234,-0.9715398055422387,-0.41242421241426075
95,3284,1628,0.7245918284861226,1.914806762983409,4.172971552778491,7.3808395591490115,10.825198376607053,-11.140442766510427,-7.494111139117283,-4.171894150954559,-1.9266085832334583,-0.7573944018723052,3.841815908618734,4.8516145645274165,6.843209343911792,9.576546842460495,13.046000131486386,-6.07129750359965,-3.2159824079432413,-1.941071487648426,-0.9839368321212374,-0.4177332648074836
96,3284,1628,0.7264639044850177,1.9246889586318647,4.185120284571218,7.424925331040874,10.954651695915414,-11.149784531129034,-7.512200846953276,-4.197957477113471,-1.9479810720247501,-0.7595375296656038,3.8454606038886063,4.897261202895611,6.875152917700339,9.6018984498975,13.2385465726949,-6.119433226309724,-3.2298374788154045,-1.9621316152533457,-0.9859353571812424,-0.4177332648074836
97,3284,1628,0.733971977985929,1.9412677225053672,4.207922968132978,7.483997657926734,10.96675341304849,-11.287278112641573,-7.5622391310566535,-4.218313632340209,-1.957435794604987,-0.7631084960582813,3.852911062178817,4.900828670758856,6.898168669092056,9.621307415919278,13.323004079160997,-6.251980402510687,-3.243972779407149,-1.9782581433965638,-0.9925867923229764,-0.4190971926008728
98,3283,1628,0.7392441209803464,1.9621036616340755,4.22272449922566,7.524212134718732,11.02914917701909,-11.313874240841447,-7.594877651427469,-4.241520669880767,-1.9849351588623287,-0.7776622640940237,3.860337851069989,4.9222298528365975,6.937093014887667,9.694409592964506,13.333240208423614,-6.376088686970476,-3.2592572697571915,-1.9928080443024503,-0.9988662945760036,-0.4190971926008728
99,3283,1628,0.7405356503607187,1.975596838487201,4.25465992245146,7.562654252225492,11.06762308140799,-11.341986602804033,-7.632084672624567,-4.289161530975709,-1.9928080443024503,-0.7803091075748406,3.874312652099799,4.92696927348678,6.962149040330363,9.716177256518524,13.428967145618387,-6.4531725688076005,-3.260446716313041,-2.0017785443438685,-1.0024378447870692,-0.4211577194599292
100,3282,1628,0.7439182835955164,1.9773911279381822,4.278437979340994,7.574495340575524,11.077230421789016,-11.375614985324365,-7.663074079442315,-4.304067762501065,-1.9952140258429871,-0.7825409838982573,3.8825482566385494,4.9292768004361225,7.008361758553894,9.740416280745347,13.454307636427135,-6.472434908371236,-3.3023096684244115,-2.0061813789550333,-1.0091267884428592,-0.42366913480849433
101,3282,1628,0.7439182835955164,1.9773911279381822,4.292565094934182,7.594162440047266,11.120520477677394,-11.434323311568813,-7.70796777910768,-4.327540019607209,-2.0010502877854277,-0.7834589245495891,3.891854897413423,4.9404083765727105,7.011170041072589,9.791166813298293,13.487286259165074,-6.485844902529456,-3.3234723748134165,-2.0113750476417698,-1.0102940706424701,-0.42366913480849433
102,3282,1628,0.7439182835955164,1.9839287188796497,4.31019966119778,7.653742049671756,11.19665484017292,-11.558961332431293,-7.712837264071175,-4.365682731455592,-2.011024269249748,-0.7864377715563906,3.89847172095917,4.9439109949728115,7.039587509345969,9.877083355180199,13.617913982812928,-6.620762348470604,-3.330867928220631,-2.022906554879408,-1.0188307467531637,-0.4255617344949148
