trade_id,selected_SL,final_r_X,peak_mfe_X,peak_mfe_atr,reached_1R_X,wrong_way_pre_peak_X,mono_pre_peak_X,sl_triggered,truncated_at_bar,peak_mfe_bar_X
858,2,-1,1.375864722,2.751729444,1,0,0.6875,1,40,16
859,2,-1,0.5687862593,1.137572519,0,0,1,1,11,2
873,2,-1,0.137508312,0.275016624,0,0,1,1,9,4
876,2,-1,0.9325402472,1.865080494,0,0,0.8,1,24,5
880,2,-1,0.1730455247,0.3460910494,0,0,1,1,7,4
881,2,1.684424532,3.251993894,6.503987788,1,0,0.5675675676,0,240,37
885,2,-1,1.966228149,3.932456298,1,0,0.7777777778,1,61,9
892,2,-1,1.765005426,3.530010852,1,0,0.6,1,108,26
897,2,-1,1.877849249,3.755698498,1,0,0.6428571429,1,75,29
900,2,-1,0.4571001292,0.9142002584,0,0,1,1,30,3
901,2,-1,1.447509948,2.895019896,1,0,0.4848484848,1,52,37
904,2,-1,0.8764286104,1.752857221,0,0,0.5,1,12,4
912,2,-1,1.022571881,2.045143762,1,0,0.7142857143,1,20,16
914,2,0.5941146119,5.006952108,10.01390422,1,0,0.5899280576,0,240,139
917,2,-1,1.02002361,2.04004722,1,0,1,1,13,4
918,2,-1,0.4032377733,0.8064755466,0,0,0.5,1,6,2
919,2,-1,2.000376294,4.000752588,1,0,0.6875,1,74,20
922,2,-1,0.5497690615,1.099538123,0,0,1,1,10,5
923,2,-1,1.870964736,3.741929472,1,0,0.7777777778,1,38,13
924,2,-1,0.6020994408,1.204198882,0,0,0,1,6,0
925,2,-1,1.37557436,2.75114872,1,0,1,1,26,1
927,2,-1,0.3236580119,0.6473160238,0,0,1,1,7,2
928,2,-1,2.445736977,4.891473954,1,0,0.7083333333,1,116,29
931,2,-1,0.5989642524,1.197928505,0,0,1,1,8,3
934,2,-1,0.3014747689,0.6029495378,0,0,0,1,26,0
935,2,-1,1.407250093,2.814500186,1,0,0.7142857143,1,26,7
946,2,-1,0.4306700343,0.8613400686,0,0,0.6666666667,1,16,9
948,2,-1,1.315366842,2.630733684,1,0,0.6666666667,1,30,6
951,2,-1,0.5324886554,1.064977311,0,0,1,1,18,6
955,2,-1,0.415245111,0.830490222,0,0,1,1,18,12
957,2,-1,1.8679831,3.7359662,1,0,0.5714285714,1,48,14
959,2,-1,1.714055837,3.428111674,1,0,0.8333333333,1,16,7
960,2,-1,0.584580581,1.169161162,0,0,0.6666666667,1,14,3
962,2,-1,1.858239135,3.71647827,1,0,0.5757575758,1,97,66
964,2,-1,0.6289076441,1.257815288,0,0,1,1,12,6
971,2,-1,0.9128386709,1.825677342,0,0,0.7272727273,1,90,11
978,2,-1,1.950165132,3.900330264,1,0,0.6842105263,1,53,19
984,2,-1,0.6427102773,1.285420555,0,0,0.5,1,32,13
986,2,-1,0.7092269638,1.418453928,0,0,1,1,6,2
990,2,-1,3.388058884,6.776117768,1,0,0.7142857143,1,64,21
993,2,-1,0.474404974,0.948809948,0,0,1,1,4,1
995,2,-1,0.3723186108,0.7446372216,0,0,0.3333333333,1,6,3
997,2,-1,0.618792062,1.237584124,0,0,1,1,39,7
999,2,-1,2.186678636,4.373357272,1,0,0.5769230769,1,39,26
1004,2,-1,0.9849056907,1.969811381,0,0,0.5714285714,1,13,10
1007,2,-1,0.2362367051,0.4724734102,0,0,0,1,6,2
1039,2,-1,2.124443406,4.248886812,1,0,0.6296296296,1,55,27
1040,2,-1,0.4234681296,0.8469362592,0,0,0,1,9,1
1042,2,-1,0.4713520529,0.9427041058,0,0,1,1,6,3
1044,2,-1,0.6550214144,1.310042829,0,0,0.75,1,26,9
1046,2,-1,0.2086549356,0.4173098712,0,0,1,1,8,7
1058,2,-1,0.2018055106,0.4036110212,0,0,1,1,16,7
1060,2,-1,2.149063391,4.298126782,1,0,0.5283018868,1,221,56
1062,2,-1,0.3422568327,0.6845136654,0,0,1,1,34,1
1065,2,-1,1.610792456,3.221584912,1,0,0.7142857143,1,39,9
1072,2,-1,0.5180625154,1.036125031,0,0,1,1,16,2
1074,2,-1,1.994082817,3.988165634,1,0,0.7857142857,1,44,14
1075,2,-1,0.5816748787,1.163349757,0,0,0.6666666667,1,13,7
1077,2,-1,0.2794920427,0.5589840854,0,0,0,1,8,0
1084,2,-1,0.1387404808,0.2774809616,0,0,1,1,9,5
1087,2,-1,2.10704251,4.21408502,1,0,0.5925925926,1,57,31
1089,2,-1,0.158700309,0.317400618,0,0,0.6666666667,1,13,3
1090,2,-1,0.2082314237,0.4164628474,0,0,0,1,9,1
1093,2,-1,1.619242495,3.23848499,1,0,0.7,1,39,10
1100,2,-1,1.400358004,2.800716008,1,0,0.6875,1,40,20
1106,2,-1,0.253414853,0.506829706,0,0,0.6666666667,1,23,6
1107,2,-1,0.8308131348,1.66162627,0,0,1,1,16,4
1114,2,-1,2.433816871,4.867633742,1,0,0.5333333333,1,42,17
1117,2,-1,0.2347384919,0.4694769838,0,0,1,1,4,2
1128,2,-1,0.7242433726,1.448486745,0,0,0.8888888889,1,28,9
1129,2,-1,0.5716271672,1.143254334,0,0,0.5,1,36,27
1130,2,-1,1.012828987,2.025657974,1,0,0.6666666667,1,17,10
1133,2,-1,0.7140462691,1.428092538,0,0,0.6,1,43,5
1136,2,-1,0.4662678079,0.9325356158,0,0,1,1,16,3
1139,2,-1,0.8402801967,1.680560393,0,0,0.8,1,14,11
