feature,importance,importance_std,fold,classifier,cluster_id
range_close_ratio,0.0,0.0,5,rf,0
session_dead,0.0,0.0,5,rf,0
session_ldn_ny_overlap,0.0,0.0,5,rf,0
session_london,0.0,0.0,5,rf,0
session_ny,0.0,0.0,5,rf,0
session_tokyo,0.0,0.0,5,rf,0
spread_percentile_100,0.0,0.0,5,rf,0
spread_vs_trailing_100,0.0,0.0,5,rf,0
swing_high_distance_14,0.0,0.0,5,rf,0
swing_low_distance_14,0.0,0.0,5,rf,0
w1_close_slope_sign,0.0,0.0,5,rf,0
atr_14,0.0005909001378767043,0.0007230315084883824,1,lgbm,1
atr_percentile_100,-0.0006302934804018001,0.0005252035306666581,1,lgbm,1
atr_vs_trailing_100,0.00016742170573171843,0.0006394596447015312,1,lgbm,1
d1_atr_percentile_100,-0.001368918652747686,0.0008738975990340305,1,lgbm,1
d1_close_slope_magnitude,0.009168800472720107,0.0008502713292948105,1,lgbm,1
d1_close_slope_sign,-0.0003446917470947719,0.0003852197600080424,1,lgbm,1
day_of_week,-0.0015461886941106728,0.000937714643976186,1,lgbm,1
distance_to_round_number,-0.0005318101240890272,0.0001222146311403478,1,lgbm,1
hour_of_day,-0.0010636202481780544,0.00026717864814359746,1,lgbm,1
kijun_26_distance,-0.0009651368918652592,0.0006727213455953494,1,lgbm,1
prior_session_high_distance,0.003574945834154031,0.001025173423649658,1,lgbm,1
prior_session_low_distance,-0.0005909001378766821,0.0009912143108202558,1,lgbm,1
range_close_ratio,-2.9545006893849646e-05,0.0007820595507619423,1,lgbm,1
session_dead,0.00012802836320662258,0.00011054729328659625,1,lgbm,1
session_ldn_ny_overlap,-2.9545006893849646e-05,0.00016361283952962016,1,lgbm,1
session_london,0.0001477250344691594,0.00011228830264913108,1,lgbm,1
session_ny,3.939334252511806e-05,0.00019548388065077728,1,lgbm,1
session_tokyo,2.9545006893805238e-05,2.412339711227807e-05,1,lgbm,1
spread_percentile_100,-0.000256056726413223,0.00014739639104880472,1,lgbm,1
spread_vs_trailing_100,0.0013590703171163954,0.0008130694284242678,1,lgbm,1
swing_high_distance_14,0.002678747291707717,0.0006610867223493668,1,lgbm,1
swing_low_distance_14,0.0005810518022454358,0.00031514674020089936,1,lgbm,1
w1_close_slope_sign,0.002856017333070704,0.0007323613331722764,1,lgbm,1
atr_14,0.001319676974591255,0.0010079039000985511,2,lgbm,1
atr_percentile_100,0.0025507189285010725,0.0003316418798598362,2,lgbm,1
atr_vs_trailing_100,0.0011818002757533863,0.0005700136351580581,2,lgbm,1
d1_atr_percentile_100,-0.0014575536734292127,0.0015933620969987494,2,lgbm,1
d1_close_slope_magnitude,0.0030037423675398633,0.001092677165513478,2,lgbm,1
d1_close_slope_sign,0.00043332676777620984,0.0001630189615643916,2,lgbm,1
day_of_week,0.0005022651171951775,0.0006825969450921261,2,lgbm,1
distance_to_round_number,4.924167815634206e-05,8.808619174709719e-05,2,lgbm,1
hour_of_day,0.000512113452826446,0.0006051720108622078,2,lgbm,1
kijun_26_distance,-0.00016742170573174063,0.0005141925342606413,2,lgbm,1
prior_session_high_distance,-0.0001969667126255459,0.000870895842798278,2,lgbm,1
prior_session_low_distance,0.00016742170573174063,0.0005470925512046989,2,lgbm,1
range_close_ratio,0.002058302146937141,0.0002254387067610601,2,lgbm,1
session_dead,0.00016742170573174063,8.585579955765177e-05,2,lgbm,1
session_ldn_ny_overlap,4.924167815636427e-05,3.114317175663546e-05,2,lgbm,1
session_london,-9.848335631290617e-06,0.00012612023315804226,2,lgbm,1
session_ny,-4.924167815640867e-05,5.394155579131644e-05,2,lgbm,1
session_tokyo,1.9696671262536823e-05,2.412339711227807e-05,2,lgbm,1
spread_percentile_100,0.0012408902895410412,0.00046234763026611577,2,lgbm,1
spread_vs_trailing_100,0.001309828638960009,0.0005705238667701517,2,lgbm,1
swing_high_distance_14,0.001506795351585577,0.0005814689548601707,2,lgbm,1
swing_low_distance_14,0.002018908804412023,0.0007970461914634013,2,lgbm,1
