trade_id,pair,signal_bar_time,entry_time,exit_time,exit_reason,bars_held,mfe_lock_active_at_exit,final_r,mfe_r,mae_r,spread_pips_used,spread_pips_exit,fold
1729,EUR_JPY,2024-11-26 08:00:00,2024-11-26 12:00:00,2024-11-27 00:00:00,stoploss,4,0,-1.003268513,0.06929247257,-1.178625736,1,1,6
1733,NZD_CHF,2024-11-27 00:00:00,2024-11-27 04:00:00,2024-12-04 16:00:00,stoploss,34,0,-1.022217813,0.8717224364,-1.018098618,1.7,1.7,6
1753,AUD_USD,2024-12-12 00:00:00,2024-12-12 04:00:00,2024-12-13 04:00:00,stoploss,7,0,-1.008930351,0.3268508294,-1.021632101,1,1,6
1755,EUR_CHF,2024-12-12 16:00:00,2024-12-12 20:00:00,2024-12-17 16:00:00,trail_stop,18,1,0.8552460613,1.831337056,-0.165046426,1,1,6
1766,NZD_USD,2024-12-20 08:00:00,2024-12-20 12:00:00,2024-12-31 16:00:00,stoploss,43,0,-1.012169959,0.7998982106,-1.078700906,1.1,1.1,6
1777,EUR_USD,2024-12-31 00:00:00,2024-12-31 04:00:00,2024-12-31 16:00:00,stoploss,4,0,-1.007706651,0.2675308939,-1.516008399,0.7,0.7,6
1780,CAD_CHF,2025-01-06 00:00:00,2025-01-06 04:00:00,2025-01-15 00:00:00,trail_stop,42,1,0.6306836339,1.436781062,-0.7361356356,1.5,1.5,6
1791,GBP_CHF,2025-01-10 08:00:00,2025-01-10 12:00:00,2025-01-13 00:00:00,stoploss,4,0,-1.014635921,0.3258418215,-1.111559689,1.9,1.9,6
1794,EUR_USD,2025-01-14 08:00:00,2025-01-14 12:00:00,2025-01-15 16:00:00,trail_stop,8,1,0.5733952103,1.492356,-0.3261336178,0.7,0.7,6
1798,GBP_USD,2025-01-20 00:00:00,2025-01-20 04:00:00,2025-01-21 00:00:00,trail_stop,6,1,0.6949362859,1.688334644,-0.2974868824,0.9,0.9,6
1810,NZD_USD,2025-02-04 12:00:00,2025-02-04 16:00:00,2025-02-07 16:00:00,trail_stop,19,1,0.4781726628,1.392088936,-0.008795507351,1.1,1.1,6
1811,EUR_CAD,2025-02-05 16:00:00,2025-02-05 20:00:00,2025-02-07 16:00:00,stoploss,12,0,-1.008414678,0.1841879601,-1.39870654,1.8,1.8,6
1814,AUD_CAD,2025-02-07 00:00:00,2025-02-07 04:00:00,2025-02-12 12:00:00,stoploss,21,0,-1.018165842,0.4254631366,-1.219023594,1.9,1.9,6
1830,USD_CHF,2025-02-17 12:00:00,2025-02-17 16:00:00,2025-02-24 00:00:00,stoploss,27,0,-1.009158539,0.9046601584,-1.128535563,0.9,0.9,6
1841,EUR_CHF,2025-02-26 08:00:00,2025-02-26 12:00:00,2025-02-27 16:00:00,stoploss,8,0,-1.014084372,0.6816836278,-1.183087288,1,1,6
1852,NZD_JPY,2025-03-12 08:00:00,2025-03-12 12:00:00,2025-03-19 08:00:00,trail_stop,30,1,1.77186608,2.603811363,-0.831744621,1.2,1,6
1875,AUD_USD,2025-04-10 04:00:00,2025-04-10 08:00:00,2025-05-09 00:00:00,trail_stop,125,1,1.489392581,2.350147478,-0.3608466028,1,1,7
1877,NZD_CHF,2025-04-10 04:00:00,2025-04-10 08:00:00,2025-04-10 16:00:00,stoploss,3,0,-1.007247922,0.2289490718,-1.206139523,1.7,1.7,7
1921,AUD_JPY,2025-06-09 00:00:00,2025-06-09 04:00:00,2025-06-12 04:00:00,stoploss,19,0,-1.005821305,0.8106167467,-1.305427687,0.8,0.8,7
1929,AUD_CAD,2025-06-16 08:00:00,2025-06-16 12:00:00,2025-06-19 08:00:00,trail_stop,18,1,0.4959400166,1.519417734,-0.3311439455,1.9,1.9,7
1934,NZD_CHF,2025-06-16 08:00:00,2025-06-16 12:00:00,2025-06-23 00:00:00,stoploss,28,0,-1.019380919,0.9200236237,-1.36008449,1.7,1.7,7
1937,GBP_CHF,2025-06-16 16:00:00,2025-06-16 20:00:00,2025-06-17 20:00:00,stoploss,7,0,-1.013244889,0.211221126,-1.411626337,1.9,1.9,7
1947,NZD_CHF,2025-06-25 04:00:00,2025-06-25 08:00:00,2025-07-01 16:00:00,stoploss,27,0,-1.019245331,0.3452838757,-1.094719698,1.7,1.7,7
1955,NZD_CAD,2025-06-27 16:00:00,2025-06-27 20:00:00,2025-07-03 12:00:00,stoploss,23,0,-1.021502285,0.7469706858,-1.468699559,2.3,2.3,7
1976,GBP_CAD,2025-07-17 08:00:00,2025-07-17 12:00:00,2025-07-28 20:00:00,stoploss,45,0,-1.016841043,0.6977003594,-1.195714064,2.8,2.8,7
1989,GBP_CHF,2025-07-29 08:00:00,2025-07-29 12:00:00,2025-07-31 12:00:00,trail_stop,13,1,0.03923296014,1.067732407,-0.236769888,1.9,1.9,7
1999,NZD_CHF,2025-08-06 00:00:00,2025-08-06 04:00:00,2025-08-08 00:00:00,trail_stop,12,1,0.34259318,1.23643191,-0.1322153981,1.7,1.7,7
2033,NZD_CAD,2025-09-05 00:00:00,2025-09-05 04:00:00,2025-09-08 00:00:00,trail_stop,6,1,1.017098623,1.971182627,-0.05010445611,2.3,2.3,7
