cell,spread_mult,slip_per_fill_pips,risk_level,fold,fold_id,trades,roi,dd,ratio
6,1.5,1.0,r_base,F10,10,196,0.4452270827043061,0.05494018258390928,8.103851530240508
6,1.5,1.0,r_base,F11,11,188,0.5035214158563532,0.02738881328042735,18.384199808181567
6,1.5,1.0,r_recommended,Holdout,0,1093,0.45527531674942434,0.06489258833910756,7.015829209497756
6,1.5,1.0,r_recommended,F1,1,201,0.32663084523565633,0.0370990979807214,8.804279969431885
6,1.5,1.0,r_recommended,F2,2,182,0.3762620326161763,0.03141004096578834,11.979036672572285
6,1.5,1.0,r_recommended,F3,3,179,0.40965572668011174,0.02706288633889256,15.137177962107764
6,1.5,1.0,r_recommended,F4,4,195,0.6469688052757214,0.08091516033008293,7.995643864962954
6,1.5,1.0,r_recommended,F5,5,192,0.4215530369942422,0.02865152732372167,14.71310873697203
6,1.5,1.0,r_recommended,F6,6,190,0.28938637880451656,0.0549347896760116,5.267816269275407
6,1.5,1.0,r_recommended,F7,7,170,0.43344051806766926,0.034528239696716194,12.553217942034028
6,1.5,1.0,r_recommended,F8,8,191,0.6797951142810406,0.026430890845885555,25.71972008983053
6,1.5,1.0,r_recommended,F9,9,175,0.17613216127318299,0.03558838966992657,4.949146699436665
6,1.5,1.0,r_recommended,F10,10,196,0.4588854173749499,0.05633168331817827,8.146133584949473
6,1.5,1.0,r_recommended,F11,11,188,0.5192747435742808,0.028087008227725543,18.48807603017287
7,2.0,0.0,r_base,Holdout,0,1093,0.4477492041781488,0.06444756318920507,6.947496259302269
7,2.0,0.0,r_base,F1,1,201,0.2891485265734066,0.03750853158747999,7.708873537185385
7,2.0,0.0,r_base,F2,2,182,0.33342544387727147,0.0309709086419529,10.765762404065102
7,2.0,0.0,r_base,F3,3,179,0.3888701989762202,0.027175320219445857,14.309682308654313
7,2.0,0.0,r_base,F4,4,195,0.6081879158033987,0.08006501876508623,7.596175273346839
7,2.0,0.0,r_base,F5,5,192,0.39451229528539566,0.028286197973493098,13.947165881222066
