trade_id,pair,signal_bar_time,entry_time,entry_price,sl_at_entry_price,exit_time,exit_price,exit_reason,final_r,bars_held,mfe_r,mae_r,spread_pips_used,spread_pips_exit,swing_low_used,n_swing_lows,most_recent_sl_lag,atr14_at_signal,time_to_peak_mfe,calendar_year
96,USD_CHF,2020-11-25 08:00:00,2020-11-25 12:00:00,0.912275,0.9080676765,2020-11-25 16:00:00,0.9080226765,stoploss,-1.010695636,2,0.1366664564,-8.676537376,0.9,0.9,0.90762,4,6,0.002103661773,0,2020
97,USD_CAD,2020-11-27 00:00:00,2020-11-27 04:00:00,1.302175,1.297176141,2020-11-30 12:00:00,1.297111141,stoploss,-1.013002967,9,0.06101392346,-8.65897599,1.3,1.3,1.29862,4,8,0.002499429497,0,2020
98,EUR_NZD,2020-11-30 04:00:00,2020-11-30 08:00:00,1.70325,1.695589517,2020-12-31 12:00:00,1.695399517,stoploss,-1.024802613,134,4.10548511,-3.361406728,3.8,3.8,1.6947,3,5,0.003830241635,97,2020
99,AUD_NZD,2020-12-03 04:00:00,2020-12-03 08:00:00,1.049255,1.044976142,2021-02-01 08:00:00,1.063915,time_exit,3.426147506,240,8.159886779,-0.4171673464,2.1,2.1,1.04168,2,9,0.002139429195,188,2020
100,USD_CAD,2020-12-03 08:00:00,2020-12-03 12:00:00,1.293375,1.288229793,2020-12-03 16:00:00,1.288164793,stoploss,-1.012633117,2,0.4441026655,-6.702354669,1.3,1.3,1.29231,2,16,0.002572603339,0,2020
101,USD_CHF,2020-12-04 08:00:00,2020-12-04 12:00:00,0.891535,0.8873619318,2020-12-09 08:00:00,0.8873169318,stoploss,-1.010783433,18,1.654657839,-3.777795921,0.9,0.9,0.88914,2,4,0.002086534097,5,2020
102,GBP_NZD,2020-12-07 16:00:00,2020-12-07 20:00:00,1.89279,1.877153697,2020-12-10 16:00:00,1.876913697,stoploss,-1.015348897,18,1.816925661,-2.603556623,4.8,4.8,1.88684,2,20,0.007818151456,13,2020
103,EUR_AUD,2020-12-14 00:00:00,2020-12-14 04:00:00,1.60985,1.600432826,2020-12-28 00:00:00,1.600312826,stoploss,-1.012742677,54,1.674600077,-5.367852496,2.4,2.4,1.604,4,4,0.00470858691,32,2020
104,GBP_CAD,2020-12-14 08:00:00,2020-12-14 12:00:00,1.71038,1.694761033,2020-12-15 08:00:00,1.694501033,stoploss,-1.016646428,6,3.438767801,-1.005828378,5.2,5.2,1.67689,5,5,0.007809483382,0,2020
105,GBP_USD,2020-12-14 08:00:00,2020-12-14 12:00:00,1.340925,1.32797092,2020-12-21 08:00:00,1.32792592,stoploss,-1.003473809,30,3.448720365,-1.710271957,0.9,0.9,1.31338,4,5,0.006477040071,19,2020
106,GBP_AUD,2020-12-15 00:00:00,2020-12-15 04:00:00,1.77037,1.755635306,2021-01-05 16:00:00,1.755435306,stoploss,-1.013573407,82,2.165637135,-1.955249322,4,4,1.74257,2,9,0.007367346885,44,2020
107,GBP_NZD,2020-12-15 00:00:00,2020-12-15 04:00:00,1.88358,1.867393405,2021-01-06 08:00:00,1.867153405,stoploss,-1.014827084,86,2.401369755,-1.346793431,4.8,4.8,1.85208,3,9,0.008093297567,44,2020
108,USD_CAD,2020-12-16 04:00:00,2020-12-16 08:00:00,1.273455,1.267815491,2021-01-04 08:00:00,1.267750491,stoploss,-1.011525825,67,3.93739923,-2.582671461,1.3,1.3,1.27066,4,10,0.002819754704,19,2020
