trade_id,pair,signal_bar_time,entry_time,y,native_prob_negative,native_prob_positive
169,EUR_GBP,2021-02-25 08:00:00,2021-02-25 12:00:00,0,0.9091823121,0.09081768795
170,EUR_NZD,2021-02-26 08:00:00,2021-02-26 12:00:00,0,0.9183444756,0.08165552441
171,EUR_CAD,2021-02-26 16:00:00,2021-02-26 20:00:00,0,0.9912226225,0.008777377549
172,GBP_CAD,2021-03-01 00:00:00,2021-03-01 04:00:00,0,0.9959031792,0.004096820823
173,GBP_CHF,2021-03-01 00:00:00,2021-03-01 04:00:00,0,0.9603426504,0.0396573496
174,EUR_AUD,2021-03-02 00:00:00,2021-03-02 04:00:00,0,0.9957644283,0.004235571742
175,EUR_USD,2021-03-03 08:00:00,2021-03-03 12:00:00,0,0.9988618576,0.001138142447
176,GBP_USD,2021-03-03 08:00:00,2021-03-03 12:00:00,0,0.9991134331,0.0008865669346
177,NZD_CHF,2021-03-03 08:00:00,2021-03-03 12:00:00,0,0.994316719,0.005683281009
178,AUD_NZD,2021-03-03 16:00:00,2021-03-03 20:00:00,0,0.9611322615,0.03886773848
179,CHF_JPY,2021-03-08 00:00:00,2021-03-08 04:00:00,1,0.0237320715,0.9762679285
180,GBP_JPY,2021-03-08 00:00:00,2021-03-08 04:00:00,0,0.9910509787,0.008949021275
181,GBP_AUD,2021-03-08 08:00:00,2021-03-08 12:00:00,0,0.974832632,0.025167368
182,NZD_CHF,2021-03-08 16:00:00,2021-03-08 20:00:00,0,0.9958411989,0.004158801122
183,GBP_NZD,2021-03-09 00:00:00,2021-03-09 04:00:00,0,0.9991453887,0.0008546113057
184,USD_JPY,2021-03-09 00:00:00,2021-03-09 04:00:00,0,0.9753295172,0.02467048281
185,AUD_CAD,2021-03-09 16:00:00,2021-03-09 20:00:00,0,0.9890457512,0.01095424881
186,NZD_CAD,2021-03-09 16:00:00,2021-03-09 20:00:00,0,0.9987982366,0.001201763424
187,AUD_USD,2021-03-09 20:00:00,2021-03-10 00:00:00,0,0.9796767737,0.02032322633
188,USD_CAD,2021-03-10 00:00:00,2021-03-10 04:00:00,0,0.8492699766,0.1507300234
189,CAD_CHF,2021-03-10 08:00:00,2021-03-10 12:00:00,0,0.9958324386,0.004167561445
190,GBP_USD,2021-03-11 04:00:00,2021-03-11 08:00:00,0,0.8943371514,0.1056628486
191,EUR_CAD,2021-03-11 08:00:00,2021-03-11 12:00:00,0,0.99687237,0.003127629965
192,EUR_AUD,2021-03-15 00:00:00,2021-03-15 04:00:00,0,0.9850818889,0.01491811108
193,EUR_GBP,2021-03-15 16:00:00,2021-03-15 20:00:00,0,0.9829138552,0.01708614479
194,USD_JPY,2021-03-16 00:00:00,2021-03-16 04:00:00,0,0.9916231256,0.008376874387
195,EUR_USD,2021-03-16 04:00:00,2021-03-16 08:00:00,0,0.980945791,0.01905420896
196,GBP_NZD,2021-03-17 04:00:00,2021-03-17 08:00:00,0,0.9880332177,0.0119667823
197,GBP_AUD,2021-03-17 08:00:00,2021-03-17 12:00:00,0,0.9685478439,0.0314521561
198,GBP_USD,2021-03-17 08:00:00,2021-03-17 12:00:00,0,0.9410577726,0.05894222741
199,USD_CAD,2021-03-17 08:00:00,2021-03-17 12:00:00,0,0.9929406825,0.007059317464
200,NZD_CAD,2021-03-17 20:00:00,2021-03-18 00:00:00,0,0.9412256169,0.05877438308
201,EUR_AUD,2021-03-22 00:00:00,2021-03-22 04:00:00,1,0.01916890473,0.9808310953
202,EUR_GBP,2021-03-22 00:00:00,2021-03-22 04:00:00,0,0.9593902648,0.04060973519
203,NZD_USD,2021-03-22 08:00:00,2021-03-22 12:00:00,0,0.9912953463,0.008704653701
204,GBP_NZD,2021-03-22 20:00:00,2021-03-23 00:00:00,0,0.9636046837,0.0363953163
205,USD_JPY,2021-03-22 20:00:00,2021-03-23 00:00:00,0,0.983368927,0.01663107297
206,USD_CAD,2021-03-23 00:00:00,2021-03-23 04:00:00,0,0.9238683573,0.07613164274
207,USD_CHF,2021-03-23 00:00:00,2021-03-23 04:00:00,0,0.9496452941,0.05035470594
208,EUR_CHF,2021-03-23 08:00:00,2021-03-23 12:00:00,0,0.9784608292,0.02153917083
209,EUR_CAD,2021-03-24 04:00:00,2021-03-24 08:00:00,0,0.9990992623,0.0009007376743
210,GBP_AUD,2021-03-24 20:00:00,2021-03-25 00:00:00,0,0.97557984,0.02442015999
211,GBP_JPY,2021-03-25 04:00:00,2021-03-25 08:00:00,1,0.00442236565,0.9955776343
212,AUD_CAD,2021-03-26 00:00:00,2021-03-26 04:00:00,0,0.9960864303,0.003913569657
213,AUD_USD,2021-03-26 00:00:00,2021-03-26 04:00:00,0,0.9828684056,0.01713159435
214,NZD_JPY,2021-03-26 00:00:00,2021-03-26 04:00:00,1,0.03125150699,0.968748493
215,EUR_USD,2021-03-26 08:00:00,2021-03-26 12:00:00,0,0.9556844391,0.04431556091
216,GBP_USD,2021-03-30 04:00:00,2021-03-30 08:00:00,0,0.8880289728,0.1119710272
217,NZD_CAD,2021-03-30 04:00:00,2021-03-30 08:00:00,0,0.9862426442,0.01375735583
218,NZD_USD,2021-03-30 04:00:00,2021-03-30 08:00:00,0,0.9804509726,0.01954902738
219,GBP_CAD,2021-03-31 08:00:00,2021-03-31 12:00:00,0,0.9503472032,0.04965279683
220,CAD_JPY,2021-03-31 12:00:00,2021-03-31 16:00:00,0,0.9834533632,0.01654663677
221,EUR_GBP,2021-04-02 08:00:00,2021-04-02 12:00:00,0,0.9874600321,0.0125399679
222,EUR_USD,2021-04-05 00:00:00,2021-04-05 04:00:00,1,0.03360245516,0.9663975448
223,NZD_CAD,2021-04-05 04:00:00,2021-04-05 08:00:00,1,0.02848694227,0.9715130577
224,AUD_JPY,2021-04-05 08:00:00,2021-04-05 12:00:00,0,0.9637038079,0.03629619215
225,AUD_CAD,2021-04-05 16:00:00,2021-04-05 20:00:00,0,0.9624035092,0.03759649083
226,EUR_CAD,2021-04-07 04:00:00,2021-04-07 08:00:00,0,0.9696100395,0.03038996049
227,AUD_USD,2021-04-08 04:00:00,2021-04-08 08:00:00,0,0.9407783505,0.05922164954
228,NZD_USD,2021-04-08 04:00:00,2021-04-08 08:00:00,1,0.05065079999,0.9493492
229,EUR_GBP,2021-04-08 16:00:00,2021-04-08 20:00:00,0,0.9919514553,0.008048544706
230,GBP_USD,2021-04-09 00:00:00,2021-04-09 04:00:00,0,0.9455167832,0.05448321685
231,CAD_JPY,2021-04-09 08:00:00,2021-04-09 12:00:00,0,0.9998557386,0.0001442614084
232,EUR_CHF,2021-04-12 00:00:00,2021-04-12 04:00:00,0,0.9967836444,0.003216355616
233,AUD_CAD,2021-04-12 08:00:00,2021-04-12 12:00:00,0,0.9530942026,0.04690579745
234,EUR_JPY,2021-04-12 16:00:00,2021-04-12 20:00:00,0,0.9470295942,0.05297040579
235,GBP_CAD,2021-04-13 08:00:00,2021-04-13 12:00:00,0,0.9280986484,0.07190135158
236,GBP_NZD,2021-04-19 00:00:00,2021-04-19 04:00:00,0,0.999650512,0.0003494879524
237,AUD_JPY,2021-04-20 00:00:00,2021-04-20 04:00:00,0,0.9737319651,0.02626803485
238,USD_CHF,2021-04-20 12:00:00,2021-04-20 16:00:00,0,0.9960846603,0.003915339738
239,EUR_GBP,2021-04-21 04:00:00,2021-04-21 08:00:00,0,0.9814316906,0.01856830943
240,EUR_CHF,2021-04-21 08:00:00,2021-04-21 12:00:00,0,0.9789966105,0.02100338951
241,USD_JPY,2021-04-21 08:00:00,2021-04-21 12:00:00,0,0.9894671358,0.01053286422
242,CAD_CHF,2021-04-21 16:00:00,2021-04-21 20:00:00,0,0.9912087193,0.008791280732
243,GBP_CAD,2021-04-22 00:00:00,2021-04-22 04:00:00,0,0.9993760339,0.0006239660534
244,EUR_JPY,2021-04-23 16:00:00,2021-04-23 20:00:00,1,0.02411297215,0.9758870278
245,AUD_CHF,2021-04-26 00:00:00,2021-04-26 04:00:00,0,0.9491537701,0.05084622989
246,NZD_CHF,2021-04-26 00:00:00,2021-04-26 04:00:00,0,0.9711410748,0.02885892521
247,GBP_CHF,2021-04-26 08:00:00,2021-04-26 12:00:00,0,0.9892795992,0.01072040077
248,GBP_NZD,2021-04-28 00:00:00,2021-04-28 04:00:00,0,0.9982122252,0.001787774791
249,EUR_NZD,2021-04-29 04:00:00,2021-04-29 08:00:00,0,0.9983200699,0.001679930142
250,AUD_JPY,2021-04-30 00:00:00,2021-04-30 04:00:00,0,0.9694064497,0.03059355027
251,CAD_JPY,2021-04-30 00:00:00,2021-04-30 04:00:00,1,0.03089356962,0.9691064304
252,USD_JPY,2021-04-30 12:00:00,2021-04-30 16:00:00,0,0.9064153904,0.09358460958
253,AUD_NZD,2021-05-03 08:00:00,2021-05-03 12:00:00,0,0.9758003159,0.02419968414
254,GBP_AUD,2021-05-03 08:00:00,2021-05-03 12:00:00,0,0.9387052785,0.06129472149
255,GBP_NZD,2021-05-03 08:00:00,2021-05-03 12:00:00,0,0.9997884295,0.0002115704783
256,USD_CAD,2021-05-04 00:00:00,2021-05-04 04:00:00,0,0.9889399979,0.01106000212
257,USD_CHF,2021-05-04 00:00:00,2021-05-04 04:00:00,0,0.9978186552,0.002181344776
258,AUD_CAD,2021-05-05 00:00:00,2021-05-05 04:00:00,0,0.9966796924,0.00332030764
259,CHF_JPY,2021-05-05 00:00:00,2021-05-05 04:00:00,1,0.02703295886,0.9729670411
260,GBP_CHF,2021-05-05 00:00:00,2021-05-05 04:00:00,0,0.9998167239,0.0001832760521
261,NZD_CAD,2021-05-05 00:00:00,2021-05-05 04:00:00,0,0.9885150239,0.01148497612
262,EUR_CHF,2021-05-05 08:00:00,2021-05-05 12:00:00,0,0.9943713756,0.00562862438
263,NZD_CHF,2021-05-05 08:00:00,2021-05-05 12:00:00,0,0.9883054926,0.01169450743
264,EUR_NZD,2021-05-07 08:00:00,2021-05-07 12:00:00,0,0.8600598971,0.1399401029
265,AUD_JPY,2021-05-10 00:00:00,2021-05-10 04:00:00,0,0.9349037236,0.06509627644
266,GBP_AUD,2021-05-10 00:00:00,2021-05-10 04:00:00,1,0.02351365628,0.9764863437
