trade_id,local_peaks_count,monotonicity_ratio_in_profit
NZD_USD_2018-04-06 00:00:00,14,0.59375
NZD_USD_2018-06-01 12:00:00,6,0.5
NZD_USD_2019-03-14 08:00:00,7,0.5714285714285714
NZD_USD_2019-03-19 20:00:00,4,0.42857142857142855
NZD_USD_2019-03-20 16:00:00,2,0.16666666666666666
NZD_USD_2020-03-31 08:00:00,0,
NZD_USD_2021-02-10 08:00:00,5,0.43478260869565216
NZD_USD_2021-06-08 16:00:00,2,1.0
NZD_USD_2022-02-25 16:00:00,10,0.5151515151515151
NZD_USD_2022-07-21 08:00:00,4,0.45454545454545453
NZD_USD_2022-07-22 04:00:00,4,0.46875
NZD_USD_2023-03-21 00:00:00,0,
NZD_USD_2023-07-06 12:00:00,16,0.5714285714285714
NZD_USD_2024-05-08 08:00:00,8,0.5
NZD_USD_2025-12-02 08:00:00,14,0.5142857142857142
USD_CAD_2010-08-16 04:00:00,1,0.2857142857142857
USD_CAD_2010-11-19 04:00:00,2,0.3333333333333333
USD_CAD_2010-12-22 08:00:00,0,0.0
USD_CAD_2011-02-11 12:00:00,0,
USD_CAD_2012-07-25 16:00:00,1,0.5
