trade_id,monotonicity_ratio_in_profit,local_peaks_count,pullback_magnitude_median,time_to_peak_mfe_relative
487,0.5196078431,13,0.2802924384,0.4166666667
488,0.5454545455,20,0.4140820975,0.9
489,0.5045045045,18,0.3319423063,0.7583333333
490,0,1,0,0.275862069
491,0,2,0,0.09090909091
492,0,0,0,0
493,0.5673076923,23,0.2825653085,0.975
494,0.525862069,24,0.2231739873,0.95
495,0.5423728814,17,0.4032944601,0.8
496,0.5357142857,25,0.3913394751,0.7833333333
497,0.5714285714,16,0.5586254057,0.9916666667
498,0.5210084034,15,0.365997936,0.5
499,0.5777777778,17,0.5623836186,1
500,0.6166666667,35,0.1966761472,1
501,0,0,0,0
502,0.5294117647,22,0.251493427,0.7333333333
503,0.5833333333,19,0.3969094543,0.6
