trade_id,pair,fold,sl_bar,partial_bar,replay_realized_r,slhonest_realized_r,delta_r,replay_booked_win
812,AUDCHF,5,49,117,0.8082181251433008,-1.0,-1.8082181251433007,1
825,EURNZD,5,10,21,0.4354354507880097,-1.0,-1.4354354507880096,1
826,USDCHF,5,9,26,1.5776843506334928,-1.0,-2.5776843506334925,1
828,GBPNZD,5,38,64,1.0900508175958905,-1.0,-2.0900508175958903,1
832,GBPJPY,5,13,143,0.8614584021403531,-1.0,-1.861458402140353,1
835,NZDJPY,5,3,101,0.9443689289208824,-1.0,-1.9443689289208823,1
839,NZDCHF,5,18,54,1.4192911298144408,-1.0,-2.419291129814441,1
844,USDCHF,5,0,224,0.1431158242186348,-1.0,-1.1431158242186348,1
847,GBPAUD,5,9,30,0.7893827489233607,-1.0,-1.7893827489233607,1
864,CADJPY,5,7,211,0.126358308457102,-1.0,-1.126358308457102,1
865,CHFJPY,5,29,234,0.2103012271713926,-1.0,-1.2103012271713927,1
877,AUDUSD,5,14,146,0.505351367422101,-1.0,-1.5053513674221009,1
878,GBPCHF,5,15,201,0.5108839969465302,-1.0,-1.5108839969465302,1
879,CADCHF,5,12,74,0.7830023727271185,-1.0,-1.7830023727271185,1
883,USDCAD,5,11,51,0.4139305152838603,-1.0,-1.4139305152838604,1
888,EURAUD,5,17,115,0.581749023693024,-1.0,-1.5817490236930238,1
890,EURNZD,5,32,93,0.5210574509256778,-1.0,-1.5210574509256778,1
891,EURNZD,5,30,67,0.848363236448162,-1.0,-1.848363236448162,1
893,EURGBP,5,9,21,0.7755063287883606,-1.0,-1.7755063287883606,1
894,GBPCHF,5,9,57,1.2487401578210886,-1.0,-2.2487401578210884,1
896,GBPJPY,5,6,26,0.993773677574003,-1.0,-1.9937736775740031,1
905,CADJPY,5,3,131,1.7228530263322237,-1.0,-2.7228530263322237,1
909,EURJPY,5,11,102,2.377546476569713,-1.0,-3.377546476569713,1
913,EURAUD,5,30,117,0.3964422945499902,-1.0,-1.3964422945499901,1
915,EURCHF,5,36,223,0.211273333158774,-1.0,-1.211273333158774,1
919,NZDUSD,5,27,67,0.6395254086186455,-1.0,-1.6395254086186455,1
925,NZDUSD,5,6,48,0.5752058148810607,-1.0,-1.5752058148810608,1
931,GBPCHF,5,9,201,0.8476875880916106,-1.0,-1.8476875880916106,1
932,EURNZD,5,12,92,0.3613959273257584,-1.0,-1.3613959273257583,1
936,EURUSD,5,6,46,0.5664337720778059,-1.0,-1.5664337720778059,1
937,EURGBP,5,7,42,0.5598682356865405,-1.0,-1.5598682356865405,1
940,NZDJPY,5,8,72,0.7084201501716696,-1.0,-1.7084201501716696,1
950,GBPNZD,6,5,95,2.128408652072752,-1.0,-3.128408652072752,1
951,GBPCAD,6,20,35,0.9292138727116778,-1.0,-1.9292138727116779,1
957,NZDCAD,6,31,111,0.6816723119498123,-1.0,-1.6816723119498123,1
958,NZDCAD,6,10,80,0.7891702613788747,-1.0,-1.7891702613788747,1
973,NZDCAD,6,15,65,0.9868457605378465,-1.0,-1.9868457605378465,1
975,NZDJPY,6,8,44,0.5453467468221118,-1.0,-1.5453467468221118,1
985,EURCAD,6,12,107,0.3823993001216324,-1.0,-1.3823993001216324,1
988,EURJPY,6,11,78,1.9306392090436504,-1.0,-2.93063920904365,1
989,EURGBP,6,17,86,1.0487771105329922,-1.0,-2.048777110532992,1
996,EURGBP,6,17,55,1.0094039298084212,-1.0,-2.009403929808421,1
1006,GBPCHF,6,6,25,0.8776951317112425,-1.0,-1.8776951317112425,1
1009,EURGBP,6,62,87,0.8222615391733012,-1.0,-1.8222615391733012,1
