pair,bar_time,swing_low_N,low,close,sweep_atr,reclaim_ratio,fired_signal
EUR_JPY,2024-10-17 16:00:00,162.065,161.84,162.595,0.5021582911,2.355555556,1
EUR_AUD,2024-10-18 04:00:00,1.61491,1.61333,1.61725,0.3672820324,1.481012658,1
GBP_AUD,2024-10-22 16:00:00,1.93769,1.93576,1.94126,0.3768361277,1.849740933,1
GBP_CHF,2024-10-22 16:00:00,1.12149,1.12077,1.12288,0.2727679509,1.930555556,1
GBP_NZD,2024-10-22 16:00:00,2.13981,2.13786,2.14549,0.338832511,2.912820513,1
GBP_USD,2024-10-22 16:00:00,1.29556,1.29442,1.29745,0.398827783,1.657894737,1
EUR_CAD,2024-10-23 12:00:00,1.48991,1.48915,1.49164,0.2783244506,2.276315789,1
AUD_CAD,2024-10-23 20:00:00,0.917,0.91578,0.91771,0.5084237614,0.5819672131,1
AUD_USD,2024-10-23 20:00:00,0.6625,0.66139,0.66314,0.5296586607,0.5765765766,1
NZD_CAD,2024-10-23 20:00:00,0.83023,0.82936,0.83043,0.399282098,0.2298850575,0
NZD_USD,2024-10-23 20:00:00,0.5998,0.5991,0.60042,0.3969034709,0.8857142857,1
AUD_NZD,2024-10-24 00:00:00,1.10254,1.10208,1.10471,0.2565924227,4.717391304,1
CAD_CHF,2024-10-25 00:00:00,0.62435,0.62341,0.62538,0.6526778285,1.095744681,1
AUD_CAD,2024-10-29 08:00:00,0.91175,0.91095,0.9127,0.3781005342,1.1875,1
NZD_CAD,2024-10-29 16:00:00,0.82811,0.82688,0.82954,0.5865485059,1.162601626,1
CAD_CHF,2024-11-01 00:00:00,0.61893,0.61829,0.61984,0.3797756611,1.421875,1
CAD_JPY,2024-11-01 00:00:00,109.077,108.909,109.136,0.3769702109,0.3511904762,0
EUR_AUD,2024-11-05 16:00:00,1.64324,1.64141,1.64758,0.4206004146,2.371584699,1
USD_CAD,2024-11-06 00:00:00,1.38209,1.38135,1.38857,0.270283316,8.756756757,1
EUR_CHF,2024-11-06 08:00:00,0.93676,0.93547,0.94015,0.5357048403,2.627906977,1
EUR_JPY,2024-11-06 08:00:00,165.171,165.018,165.614,0.2740748203,2.895424837,1
GBP_USD,2024-11-06 08:00:00,1.28626,1.28461,1.29007,0.347038577,2.309090909,1
EUR_NZD,2024-11-06 12:00:00,1.80129,1.79704,1.80262,0.6675938963,0.3129411765,0
GBP_AUD,2024-11-06 12:00:00,1.95765,1.95594,1.96187,0.2650870472,2.467836257,1
EUR_GBP,2024-11-11 16:00:00,0.8267,0.82597,0.82777,0.4235021766,1.465753425,1
EUR_CHF,2024-11-12 00:00:00,0.93606,0.93544,0.93867,0.2669427458,4.209677419,1
GBP_CAD,2024-11-12 08:00:00,1.78922,1.78581,1.79016,0.8488954317,0.275659824,0
GBP_NZD,2024-11-12 08:00:00,2.15244,2.15019,2.15644,0.4084588413,1.777777778,1
EUR_CAD,2024-11-12 16:00:00,1.47914,1.47786,1.47996,0.357529077,0.640625,1
GBP_CHF,2024-11-13 00:00:00,1.12345,1.12156,1.12433,0.5969338312,0.4656084656,0
EUR_USD,2024-11-14 12:00:00,1.05176,1.04965,1.05303,0.6213345049,0.6018957346,1
GBP_CAD,2024-11-14 12:00:00,1.77217,1.76995,1.77369,0.5337035886,0.6846846847,1
GBP_USD,2024-11-14 12:00:00,1.26551,1.26295,1.26574,0.6951829619,0.08984375,0
AUD_JPY,2024-11-15 20:00:00,99.63,99.412,99.773,0.5449111624,0.6559633028,1
CAD_JPY,2024-11-15 20:00:00,109.488,109.249,109.588,0.5533731659,0.4184100418,0
GBP_JPY,2024-11-15 20:00:00,194.678,194.288,194.835,0.4878651698,0.4025641026,0
NZD_JPY,2024-11-15 20:00:00,90.438,90.237,90.546,0.5700053936,0.5373134328,1
AUD_CHF,2024-11-18 00:00:00,0.57246,0.57174,0.5745,0.3756872256,2.833333333,1
CAD_CHF,2024-11-18 00:00:00,0.62902,0.62809,0.63073,0.5063376816,1.838709677,1
CHF_JPY,2024-11-18 00:00:00,173.616,173.397,174.149,0.3749873661,2.433789954,1
EUR_CHF,2024-11-18 00:00:00,0.93388,0.93304,0.93581,0.4080866131,2.297619048,1
GBP_CHF,2024-11-18 00:00:00,1.11888,1.11781,1.12168,0.3390401439,2.61682243,1
NZD_CHF,2024-11-18 00:00:00,0.51927,0.51847,0.52072,0.4534998125,1.8125,1
GBP_AUD,2024-11-19 00:00:00,1.94683,1.9454,1.94774,0.2930653154,0.6363636364,1
AUD_CHF,2024-11-27 00:00:00,0.57193,0.57115,0.57325,0.3632519201,1.692307692,1
AUD_JPY,2024-11-27 12:00:00,98.151,98.016,98.3,0.2923939191,1.103703704,1
CAD_JPY,2024-11-29 08:00:00,107.034,106.891,107.265,0.2916627189,1.615384615,1
USD_JPY,2024-11-29 08:00:00,149.758,149.527,150.159,0.3409557453,1.735930736,1
CHF_JPY,2024-12-02 00:00:00,169.706,169.474,170.273,0.3787231809,2.443965517,1
EUR_GBP,2024-12-02 00:00:00,0.8297,0.82857,0.82979,0.7064410755,0.0796460177,0
NZD_JPY,2024-12-02 00:00:00,88.456,88.317,88.814,0.3668378103,2.575539568,1
AUD_CAD,2024-12-02 16:00:00,0.90772,0.90711,0.90815,0.2597163726,0.7049180328,1
EUR_JPY,2024-12-03 16:00:00,156.372,156.168,157.094,0.2787089414,3.539215686,1
GBP_JPY,2024-12-03 16:00:00,188.464,188.075,189.362,0.4336478684,2.30848329,1
NZD_CHF,2024-12-04 16:00:00,0.51688,0.51626,0.51787,0.3638958933,1.596774194,1
CAD_CHF,2024-12-06 00:00:00,0.62558,0.62474,0.62614,0.4817339844,0.6666666667,1
