trade_id,pair,fold,segment,cluster,archetype,realized_r_3p5,outcome,terminal_mae_r_dep,terminal_mae_r_held,bars_to_mae_trough,dip_first1_r,dip_first2_r,dip_first3_r,dep_exit_offset,terminal_mfe_r_dep,terminal_mfe_r_held,terminal_mfe_r_full,exit_reason_deployed,partial_fired,partial_contrib_r,runner_contrib_r,runner_exit_r,runner_peak_mfe_r,give_back_r,gap_open_r
2704,GBPCAD,12,holdout,0,v_shape_recovery,0.49773796868676795,win,-4.018372959543978,-1.3810957851322203,7,-0.059818161394263665,-1.3810957851322203,-2.048772027753511,87,1.975758683698701,0.5260479487319046,8.619972992682007,partial_then_trail,True,0.5,-0.0022620313132320686,-0.004524062626464137,1.1290049621135434,1.1335290247400076,0.00967646728439031
2705,NZDCHF,12,holdout,0,v_shape_recovery,1.6526358145475575,win,-0.25268366128850006,-0.25268366128850006,4,-0.05227937819763214,-0.05974786079728598,-0.05974786079728598,170,5.978520321028011,5.978520321028011,5.978520321028011,partial_then_trail,True,0.5,1.1526358145475575,2.305271629095115,3.4162973263017204,1.1110256972066055,0.02862918329869147
2706,EURCAD,12,holdout,0,v_shape_recovery,1.4268051168735019,win,-0.5842840209280422,-0.5842840209280422,0,-0.5842840209280422,-0.5842840209280422,-0.5842840209280422,171,4.996669971841383,5.909303756652582,5.909303756652582,partial_then_trail,True,0.5,0.9268051168735019,1.8536102337470037,2.8552399839093616,1.001629750162358,0.01785587839850909
2707,AUDCHF,12,holdout,1,monotonic_down,1.2453063713295562,win,-0.09003467825295906,-0.9258971641960045,1,-0.05110076333274668,-0.09003467825295906,-0.09003467825295906,164,4.713437075026769,4.713437075026769,4.713437075026769,partial_then_trail,True,0.5,0.7453063713295561,1.4906127426591123,2.6933926143010107,1.2027798716418985,0.023117011983885393
2708,GBPCAD,12,holdout,0,v_shape_recovery,2.025112680008962,win,-0.9361151196945696,-0.9361151196945696,7,-0.1514089773689419,-0.2693332770505263,-0.31009723249602184,223,7.229050741591652,0.32174407690902984,7.229050741591652,partial_then_trail,True,0.5,1.5251126800089618,3.0502253600179237,4.1308861380523725,1.0806607780344488,0.01892612217108137
2709,EURCAD,12,holdout,0,v_shape_recovery,1.5087734792523884,win,-0.3607192051835098,-0.3607192051835098,5,-0.2563276873510438,-0.2935365451922888,-0.2935365451922888,150,5.357041949759339,6.307934983480841,6.307934983480841,partial_then_trail,True,0.5,1.0087734792523884,2.0175469585047767,3.061166828433908,1.0436198699291315,0.01860442892066841
2710,USDCAD,12,holdout,0,v_shape_recovery,0.49304089414357344,win,-1.6397393174201373,-1.0316874432149865,52,-0.14005200536050763,-0.14005200536050763,-0.14005200536050763,211,1.873739251842459,1.3674643007875358,1.873739251842459,partial_then_trail,True,0.5,-0.006959105856426578,-0.013918211712853156,1.0707081439099764,1.0846263556228295,0.006089217624373256
2711,CHFJPY,12,holdout,0,v_shape_recovery,2.177513896316831,win,-0.2038645360107214,-0.2038645360107214,0,-0.2038645360107214,-0.2038645360107214,-0.2038645360107214,240,6.174547134424861,6.174547134424861,6.174547134424861,partial_then_time_exit,True,0.5,1.6775138963168306,3.355027792633661,3.5283126482427773,,0.010193226800548745
2712,USDJPY,12,holdout,0,v_shape_recovery,0.5082335411191639,win,-0.3204368910561988,-0.3204368910561988,2,-0.16570001502319978,-0.16570001502319978,-0.3204368910561988,48,1.792629841167828,4.608903631477103,4.608903631477103,partial_then_trail,True,0.5,0.008233541119163879,0.016467082238327758,1.0243599092387587,1.007892827000431,0.0034455579683360773
2713,AUDNZD,12,holdout,1,monotonic_down,-1.0,loss,-1.7646967446694048,-1.0819747009172245,38,-0.2674992803006079,-0.5110434011712162,-0.5110434011712162,38,0.7865277346151178,0.7865277346151178,0.7865277346151178,SL_no_partial,False,0.0,-1.0,-1.0,0.44944441978006733,,0.021293475048822837
2714,GBPCAD,12,holdout,0,v_shape_recovery,1.5541647943461807,win,-0.9127125765933396,-0.9127125765933396,3,-0.16106692528118446,-0.16106692528118446,-0.16106692528118446,95,5.650544591831726,8.335873493650823,8.335873493650823,partial_then_trail,True,0.5,1.0541647943461807,2.1083295886923614,3.2288826239038433,1.1205530352114819,0.016722795520989604
2715,AUDCHF,12,holdout,1,monotonic_down,1.079623038884825,win,-0.4053773861696595,-1.0546986861405825,0,-0.4053773861696595,-0.4053773861696595,-0.4053773861696595,53,4.1613961766090055,4.1613961766090055,4.1613961766090055,partial_then_trail,True,0.5,0.579623038884825,1.15924607776965,2.377940672348003,1.2186945945783532,0.026905578728052718
2716,USDCAD,12,holdout,1,monotonic_down,0.5907350509400504,win,-1.658292816071458,-1.6493290711197184,6,-0.4366624326489639,-0.5480689770491256,-0.7631988558907662,46,2.2806328227207864,0.158786339145145,3.5137880210812478,partial_then_trail,True,0.5,0.09073505094005035,0.1814701018801007,1.3032187558404493,1.1217486539603487,0.014085884924138113
2717,EURUSD,12,holdout,0,v_shape_recovery,0.483688717687829,win,-0.1470054318383062,-1.2445508404173775,0,-0.1470054318383062,-0.1470054318383062,-0.1470054318383062,38,3.0699872221763655,3.0699872221763655,3.9848462688593123,partial_then_trail,True,0.5,-0.01631128231217097,-0.03262256462434194,1.7542784126722089,1.7869009772965507,-0.0014272372023228829
2718,GBPUSD,12,holdout,0,v_shape_recovery,0.6041348864622085,win,-0.3367027995611623,-1.1998653029035353,13,-0.30083411644642083,-0.30083411644642083,-0.30083411644642083,38,2.5258495238557073,3.5116597823647235,7.769619584375338,partial_then_trail,True,0.5,0.10413488646220848,0.20826977292441695,1.443342585060404,1.235072812135987,0.011570542940219287
2719,NZDCHF,12,holdout,1,monotonic_down,-1.0,loss,-2.187242872531824,-1.4566860426375818,29,-0.1254491526080718,-0.5209829514195343,-0.5209829514195343,29,0.39700967119506414,0.39700967119506414,0.39700967119506414,SL_no_partial,False,0.0,-1.0,-1.0,0.22686266925432236,,0.02656570290522254
2720,USDCAD,12,holdout,0,v_shape_recovery,0.8993258978764151,win,-0.5905836551596094,-0.900307038222633,2,-0.1032411276877074,-0.1032411276877074,-0.5905836551596094,45,3.6034483921954608,4.881196112287009,4.881196112287009,partial_then_trail,True,0.5,0.39932589787641515,0.7986517957528303,2.0591133669688344,1.260461571216004,0.016651794788393973
2721,EURAUD,12,holdout,0,v_shape_recovery,0.2637878173958853,win,-1.8346412372225718,-1.0834385346769957,50,-0.07623938042594877,-0.10141935928223426,-0.1293971135669821,50,1.719932444655056,1.719932444655056,4.938073631258555,partial_then_time_exit,True,0.5,-0.2362121826041147,-0.4724243652082294,0.982818539802889,,0.013988877142373925
2722,EURCHF,12,holdout,1,monotonic_down,-1.0,loss,-2.03962244581977,-1.5424857561875869,4,-0.20089770334450066,-0.20089770334450066,-0.7842955537348189,4,0.30418409319961437,0.30418409319961437,0.30418409319961437,SL_no_partial,False,0.0,-1.0,-1.0,0.17381948182835105,,0.007945106911906624
2723,NZDJPY,12,holdout,1,monotonic_down,1.0629673880825856,win,-0.11469863708622503,-1.272319318671622,19,-0.09646839013212362,-0.09646839013212362,-0.09646839013212362,165,5.1781497285877,5.1781497285877,5.1781497285877,partial_then_trail,True,0.5,0.5629673880825855,1.125934776165171,2.958942702050114,1.833007925884943,0.009874717100141867
